name,fluid,gwp,safety,p_evap_bar,p_cond_bar,pressure_ratio,T_crit_C,T_discharge_C,COP,m_dot_kgs,vol_refrig_effect_kJm3
R-290 (propane),R290,3,A3,5.84218179061432,17.890207195846397,3.062247604925213,96.74000895096344,73.70312707296443,3.453282081329559,0.5568555626027438,3270.678423425092
R-1234yf,R1234yf,1,A2L,3.978334543224939,13.65562727249624,3.4324984799862106,94.69998882341457,64.23935900879337,3.3754405490444452,1.3606302607543432,2334.7584420285657
R-1234ze(E),R1234ze(E),1,A2L,2.78171621904498,10.490077966550384,3.77108128238611,109.36300260465185,67.22521456786131,3.5367713317153395,1.1447083522588366,1879.5773163792117
