label,T_air_C,mode,m_dot_refrigerant_kgs,n_active_compressors,to_C,tc_C,T_discharge_C,P_compressor_kW,COP_compressor,Q_condenser_kW,condenser_subcool_K,condenser_dP_ref_kPa,condenser_dP_glycol_kPa,eev_quality,eev_Kv_m3h,evaporator_superheat_K,evaporator_dP_ref_kPa,evaporator_dP_water_kPa,econ_dP_water_kPa,econ_dP_glycol_kPa,econ_UA_kWK,econ_LMTD_K,Q_econ_kW,Q_mech_kW,econ_glycol_supply_C,CHW_econ_outlet_C,tube_suction,v_suction_ms,tube_discharge,v_discharge_ms,tube_liquid,v_liquid_ms,m_dot_water_kgs,m_dot_glycol_kgs,P_glycol_pump_kW,P_chw_pump_kW,fan_speed_pct,P_fan_kW,Q_delivered_kW,P_other_kW,PUE,TUE,COP_sys_fc
Winter,-2.942685185185185,free_cooling,,,,,,0.0,,,,,,,,,,,6.6706334456996705,10.426082216120406,25.0,6.0,,,,,,,,,,,5.972859327217125,6.518394910437253,0.5355608543616829,1.114015863384975,17.669066919310396,0.05847183347172603,150.0,1.708048551218384,1.0113869903414558,1.2136643884097469,87.81951771394444
Spring,11.316259057971015,mechanical,0.4184505059563505,2,10.0,21.316259057971017,39.58452664493103,13.64085651720276,10.996376936509227,163.64085651720274,4.749454505088124,5.636964430162931,30.69155202336937,0.04578286019065197,1.4164721283049484,8.319402167526107,9.228681164797546,9.747927781929128,,,,,,150.0,,,"2-1/8""",15.598838465559917,"2-1/8""",12.167179917768344,"1-1/8""",1.3737209926534988,5.972859327217125,10.634316124070883,2.5699762086734537,1.114015863384975,79.2372400237195,5.273438491879029,150.0,22.598287081140217,1.1506552472076015,1.3807862966491218,
Summer,23.403623188405795,mechanical,0.4601961105156672,2,10.0,33.403623188405795,52.102274940256166,21.874555668143554,6.857282144407104,171.8745556681439,4.8288790751859665,4.825670167190709,31.14385465294221,0.13603977465784614,1.0300208284604826,8.366223014823618,10.567821211244908,9.747927781929171,,,,,,150.0,,,"2-1/8""",17.15501520067862,"1-5/8""",17.576163447801513,"1-3/8""",1.047308383580135,5.9728593272171375,11.075533281017625,2.5699762086734537,1.114015863384975,84.29127145995227,6.348245007246065,150.0000000000003,31.906792747448048,1.2127119516496532,1.4552543419795838,
Fall,12.3610347985348,mechanical,0.42169268611591443,2,10.0,22.3610347985348,40.63095916289325,14.270420454352024,10.511253013169263,164.2704204543517,4.757874847664709,5.5588005323271865,30.649814874992806,0.05343272476094207,1.3587646083694314,8.32308875726875,9.334248352854905,9.747927781929091,,,,,,150.0,,,"2-1/8""",15.719699221767382,"2-1/8""",11.938232678087541,"1-1/8""",1.3885860769750564,5.972859327217112,10.667187488918653,2.5699762086734537,1.114015863384975,79.62154702754127,5.350541045080555,149.9999999999997,23.30495357149101,1.1553663571432737,1.3864396285719285,
