label,T_air_C,mode,m_dot_refrigerant_kgs,n_active_compressors,to_C,tc_C,T_discharge_C,P_compressor_kW,COP_compressor,Q_condenser_kW,condenser_subcool_K,condenser_dP_ref_kPa,condenser_dP_glycol_kPa,eev_quality,eev_Kv_m3h,evaporator_superheat_K,evaporator_dP_ref_kPa,evaporator_dP_water_kPa,econ_dP_water_kPa,econ_dP_glycol_kPa,econ_UA_kWK,econ_LMTD_K,tube_suction,v_suction_ms,tube_discharge,v_discharge_ms,tube_liquid,v_liquid_ms,m_dot_water_kgs,m_dot_glycol_kgs,P_glycol_pump_kW,P_chw_pump_kW,fan_speed_pct,P_fan_kW,Q_delivered_kW,P_other_kW,PUE,COP_sys_fc
Winter,-2.942685185185185,free_cooling,,,,,,0.0,,,,,,,,,,,6.6706334456996705,10.426082216120406,25.0,6.0,,,,,,,5.972859327217125,6.518394910437253,0.6762544858798428,1.0917052097922064,27.25584728091605,0.21746198240677062,150.0,1.9854216780788199,1.0132361445205256,75.55070122189181
Spring,11.316259057971015,mechanical,0.4592221536801836,2,-4.289827788492796,28.316259057971017,54.50763954010381,32.15064179904375,4.665536723576739,182.15064179904363,4.837461452975049,4.1779493992290995,13.926058652205167,0.18702441486053148,0.9468001345674258,10.64668595444624,11.952148881310372,7.734878959661666,,,,,"2-5/8""",17.081918951471387,"2-1/8""",11.650322364390266,"1-3/8""",1.0283461493652275,5.972859327217121,7.874673246482831,1.1830964562549668,1.0917052097922064,75.34325921166737,4.593434104426602,149.9999999999999,39.01887756951752,1.2601258504634505,
Summer,23.403623188405795,mechanical,0.503202214960087,2,-0.24761556629497658,40.403623188405795,65.82839717522643,39.34418341163013,3.812507643903986,189.3441834116299,4.8880242365212325,3.5752748616989556,13.720964186464178,0.25198282618166623,0.8714656840088486,10.585289559785508,12.232939845389302,7.734878959661653,,,,,"2-5/8""",16.59904862609467,"1-5/8""",16.877517628214303,"1-3/8""",1.1726072232504956,5.972859327217115,8.117441069538614,1.1830964562549668,1.0917052097922064,80.49569959687226,5.6017318935788225,149.99999999999977,47.22071697125612,1.3148047798083746,
Fall,12.3610347985348,mechanical,0.4626645577871744,2,-3.9609686568862252,29.3610347985348,55.47619444611854,32.734421802243375,4.582332350520398,182.73442180224333,4.842773438853328,4.120230948437315,13.877539735452713,0.19253423029300523,0.9381571413790033,10.641565343028219,11.97755624679565,7.734878959661673,,,,,"2-5/8""",17.040494651570235,"2-1/8""",11.437218877205343,"1-3/8""",1.039427099449619,5.972859327217122,7.894177544593197,1.1830964562549668,1.0917052097922064,75.75018115179495,4.668262928679149,149.99999999999994,39.6774863969697,1.264516575979798,
